"stone","zone","tomb","form","material","ulx","uly","lrx","lry","condition"
"S343","Zona Vecchia",1515,"CROSS","stone",1033.299261,488.66605000000004,1042.656584,495.79159200000004,"reasonable"
"S344","Zona Vecchia",73,"HEAD","stone",1016.799824,488.00885700000003,1028.304976,504.275032,"good"
"S345","Zona Vecchia",,"HEAD","stone",1002.806042,487.23822099999995,1012.730061,489.547136,"reasonable"
"S346","Zona Vecchia",1529,"HEAD","stone",988.664358,486.899185,998.637436,490.93432399999995,"good"
"S347","Zona Vecchia",,"CROSS","stone",974.522484,486.215102,982.793347,492.27919299999996,"reasonable"
"S348","Zona Vecchia",453,"PLB","stone",963.709381,485.60705399999995,970.824548,488.19337600000006,"excellent"
"S349","Zona Vecchia",797,"PLB","stone",951.378359,483.584113,956.429141,487.84594500000003,"good"
"S350","Zona Vecchia",1643,"BUILD","stone",923.720731,480.13790200000005,944.694442,500.346936,"reasonable"
"S351","Zona Vecchia",749,"PED","stone",921.337806,511.191727,926.026365,515.099736,"excellent"
"S352","Zona Vecchia",,"PLB","stone",931.593496,511.56856300000004,938.904557,514.745621,"very poor"
"S353","Zona Vecchia",747,"PLB","stone",943.486156,512.627583,951.577064,517.216667,"excellent"
"S354","Zona Vecchia",23,"HEAD","stone",955.13017,515.112672,963.63496,517.042235,"excellent"
"S355","Zona Vecchia",,"CROSS","stone",964.201466,518.440356,972.353845,520.361523,"reasonable"
"S356","Zona Vecchia",1673,"COL","stone",975.903663,517.225454,979.030899,519.945255,"reasonable"
"S357","Zona Vecchia",1674,"LEDG","stone",982.18638,518.880957,989.969557,532.524564,"good"
"S358","Zona Vecchia",,"LEDG","stone",991.748123,516.692953,1000.960206,531.060389,"good"
"S359","Zona Vecchia",,"HEAD","stone",1003.386814,515.583171,1011.569008,518.54007,"bad"
"S360","Zona Vecchia",965,"HEAD","stone",1026.011002,525.801119,1033.488392,528.741056,"reasonable"
"S361","Zona Vecchia",339,"PLB","stone",1039.704474,514.729808,1046.497081,518.343258,"reasonable"
"S362","Zona Vecchia",1499,"HEAD","stone",1052.720296,515.388552,1060.931925,519.381372,"good"
"S363","Zona Vecchia",528,"LEDG","stone",1066.056206,516.409496,1075.004754,533.87573,"good"
"S364","Zona Vecchia",932,"HEAD","stone",1079.173377,516.36937,1088.050184,518.998166,"excellent"
"S365","Zona Vecchia",,"HEAD","stone",1091.8466,516.674482,1100.028794,519.63138,"very poor"
"S366","Zona Vecchia",105,"OSS","stone",1114.428655,521.376914,1134.789117,543.947925,"good"
"S367","Zona Vecchia",535,"HEAD","stone",1136.604441,524.327611,1148.107893,544.960474,"reasonable"
"S368","Zona Vecchia",343,"COL","stone",1150.906725,521.205459,1156.662121,525.484253,"bad"
"S369","Zona Vecchia",,"CROSS","stone",1163.971778,520.483407,1170.784009,524.787368,"good"
"S370","Zona Vecchia",188,"LEDG","stone",1174.34382,525.225984,1179.816058,531.912892,"good"
"S371","Zona Vecchia",,"HEAD","stone",1185.179606,519.610716,1191.962194,522.879118,"excellent"
"S372","Zona Vecchia",,"PLB","stone",1198.890022,519.596119,1204.303027,524.211393,"reasonable"
"S373","Zona Vecchia",1676,"HEAD","stone",1210.875956,520.583139,1218.728059,536.642857,"unrecorded"
"S374","Zona Vecchia",1677,"HEAD","stone",1226.185636,516.105548,1235.777058,519.096371,"reasonable"
"S375","Zona Vecchia",,"CHEST","stone",1244.882433,520.71462,1256.797339,543.427512,"bad"
"S376","Zona Vecchia",,"HEAD","stone",1263.069992,520.447974,1271.966422,523.767072,"good"
"S377","Zona Vecchia",1680,"COPE","stone",1276.649641,521.132248,1283.935221,542.008593,"bad"
"S378","Zona Vecchia",,"LEDG","stone",1288.736734,527.980193,1292.555643,538.422468,"good"
"S379","Zona Vecchia",302,"PLB","stone",1283.693085,549.621082,1290.525112,554.615708,"good"
"S380","Zona Vecchia",,"PLB","stone",1270.012086,549.981107,1278.879099,552.264492,"reasonable"
"S381","Zona Vecchia",1672,"HEAD","stone",1257.550298,549.692957,1266.195874,568.877021,"reasonable"
"S382","Zona Vecchia",,"HEAD","stone",1241.415745,550.675626,1251.35937,553.675016,"reasonable"
"S383","Zona Vecchia",823,"LEDG","stone",1218.463413,551.514411,1224.544273,567.186382,"good"
"S384","Zona Vecchia",,"HEAD","stone",1186.107779,547.446273,1193.986811,552.121001,"reasonable"
"S385","Zona Vecchia",1671,"CHEST","stone",1153.362054,544.085608,1176.445171,575.692568,"excellent"
"S386","Zona Vecchia",907,"LEDG","stone",1144.566992,552.15131,1151.194527,562.316368,"reasonable"
"S387","Zona Vecchia",515,"HEAD","stone",1087.603556,542.483997,1097.527385,544.792721,"excellent"
"S388","Zona Vecchia",1525,"CROSS","stone",1071.68061,542.447707,1078.492841,546.75184,"reasonable"
"S389","Zona Vecchia",1670,"HEAD","stone",1054.799154,541.005281,1063.020786,545.343339,"good"
"S390","Zona Vecchia",417,"LEDG","stone",1034.665468,540.185518,1048.233531,559.142871,"reasonable"
"S391","Zona Vecchia",,"PLG","stone",1023.805813,541.640537,1028.454745,544.167577,"excellent"
"S392","Zona Vecchia",,"PED","stone",1009.703358,539.575277,1016.877776,544.233042,"bad"
"S393","Zona Vecchia",,"LEDG","stone",989.207467,538.401691,999.986509,558.327116,"good"
"S394","Zona Vecchia",346,"PLB","stone",972.065138,537.287368,977.106109,541.203944,"bad"
"S395","Zona Vecchia",,"PLB","stone",957.25826,537.276798,963.356065,541.218731,"excellent"
"S396","Zona Vecchia",1628,"LEDG","stone",939.883797,537.2151690000001,951.367643,557.157539,"bad"
"S397","Zona Vecchia",1668,"CHEST","stone",915.71248,538.702109,936.863736,551.976536,"good"
"S398","Zona Vecchia",340,"PLB","stone",917.392376,563.956466,927.336019,566.955856,"reasonable"
"S399","Zona Vecchia",,"PLB","stone",929.370986,564.244615,938.609997,567.227043,"reasonable"
"S400","Zona Vecchia",363,"LEDG","stone",942.598224,565.26575,951.978022,585.502298,"excellent"
"S401","Zona Vecchia",1645,"HEAD","stone",957.908094,563.550096,964.368087,567.845662,"reasonable"
